personid,educ,cigpric,white,age,income,cigs,restaurn
58,12,61.207,1,32,20000,20,1
59,13.5,60.823,1,55,20000,0,1
60,13.5,60.632,1,47,30000,0,1
61,13.5,60.785,1,26,20000,0,1
62,10,60.555,1,26,6500,20,1
63,16,60.708,0,61,30000,0,1
64,10,60.67,1,48,20000,0,1
65,18,62.736,1,32,30000,0,1
66,16,62.089,1,29,12500,0,1
67,18,62.571,0,47,30000,0,1
68,10,60.708,0,62,20000,0,1
69,16,62.159,0,30,8500,0,1
70,13.5,61.667,1,21,20000,0,1
71,12,61.207,1,28,2500,0,1
72,12,61.053,1,50,30000,20,1
73,12,61.475,1,69,6500,0,1
74,13.5,61.629,1,37,20000,60,1
75,12,61.744,0,40,30000,20,1
76,6,61.437,1,47,20000,3,1
77,10,61.936,1,78,2500,0,1
78,18,61.744,1,38,30000,0,1
79,13.5,62.489,1,25,30000,0,1
80,12,61.322,1,67,8500,0,1
81,13.5,60.9,1,50,30000,12,1
82,13.5,61.552,1,47,30000,0,1
83,8,62.489,1,76,6500,0,1
84,8,60.785,1,28,30000,0,1
85,12,61.514,0,32,20000,0,1
86,12,61.897,0,28,20000,0,1
87,12,61.168,1,53,30000,20,1
88,12,60.823,1,57,20000,0,1
89,18,61.59,1,42,30000,0,1
90,15,61.092,1,49,12500,0,1
91,18,61.782,1,31,20000,25,1
92,12,61.437,1,20,8500,0,1
93,18,61.897,1,45,20000,40,1
94,18,60.555,0,63,30000,0,1
95,15,61.705,1,61,30000,0,1
96,13.5,61.859,0,35,12500,30,1
97,6,61.705,1,59,12500,0,1
98,10,62.654,0,17,8500,0,1
99,18,62.736,1,38,30000,0,1
100,13.5,61.245,1,41,30000,0,1
101,12,61.897,1,35,30000,0,1
102,12,61.59,0,40,30000,0,1
103,13.5,62.571,1,37,30000,0,1
104,12,62.406,0,27,5500,13,1
105,12,60.862,1,48,20000,0,1
106,12,62.089,0,18,30000,0,1
107,12,60.862,0,43,20000,0,1
108,10,62.012,1,20,3500,0,1
109,8,60.823,1,19,12500,1,1
110,13.5,60.708,1,22,12500,0,1
111,16,60.708,1,60,20000,0,1
112,13.5,61.744,1,47,30000,0,1
113,10,61.629,0,77,20000,0,1
114,13.5,61.36,1,26,20000,0,1
115,12,62.654,0,37,20000,20,1
116,13.5,62.159,0,40,30000,15,1
117,6,61.284,0,44,8500,0,1
118,6,62.012,1,65,2500,0,1
119,16,60.9,1,26,30000,0,1
120,8,60.862,0,77,20000,0,1
121,12,61.207,0,73,12500,0,1
122,10,60.938,1,64,30000,0,1
123,13.5,61.629,1,28,30000,0,1
124,13.5,60.862,1,26,30000,20,1
125,10,61.092,1,64,20000,20,1
126,12,61.667,1,29,6500,0,1
127,12,61.974,1,55,20000,40,1
128,12,62.736,1,54,30000,0,1
129,15,61.207,1,42,20000,10,1
130,13.5,62.736,0,70,12500,0,1
131,16,61.284,1,71,20000,0,1
132,12,61.744,1,24,30000,0,1
133,10,61.859,1,38,20000,20,1
134,15,61.936,1,73,6500,0,1
135,18,60.823,1,29,30000,0,1
136,13.5,60.555,1,24,20000,0,1
137,12,61.437,1,25,8500,0,1
138,15,62.089,1,22,20000,0,1
139,12,61.475,1,36,12500,5,1
140,12,53.624,1,28,20000,0,0
141,13.5,53.313,1,27,6500,40,0
142,13.5,55.185,1,28,4500,8,0
143,12,53.382,1,53,20000,0,0
144,13.5,54.984,1,23,30000,15,0
145,12,53.969,1,19,12500,15,0
146,15,54.314,0,25,20000,0,0
147,13.5,54.648,0,34,12500,20,0
148,13.5,54.141,1,20,30000,0,0
149,10,54.314,1,17,20000,0,0
150,16,66.587,1,51,30000,20,1
151,12,65.29,1,44,30000,30,1
152,12,65.29,1,29,20000,60,1
153,8,66.088,1,65,30000,0,1
154,12,65.29,1,53,30000,0,1
155,8,67.933,0,46,20000,0,1
156,18,65.29,1,51,30000,0,1
157,18,65.54,1,66,30000,0,1
158,8,64.991,0,42,20000,0,1
159,16,65.141,1,32,8500,40,1
160,13.5,66.437,1,53,30000,25,1
161,8,66.038,1,70,30000,0,1
162,10,65.889,1,30,20000,30,1
163,18,65.889,1,42,30000,0,1
164,12,66.537,1,69,30000,0,1
165,10,66.437,1,18,5500,0,1
166,12,68.184,1,22,12500,10,1
167,6,66.687,0,38,20000,40,1
168,10,66.437,1,52,20000,20,1
169,10,65.141,0,17,30000,0,1
170,12,65.041,1,46,20000,0,1
171,16,66.587,1,46,30000,0,1
172,12,66.038,0,35,30000,0,1
173,12,66.338,1,22,30000,16,1
174,12,61.546,1,54,20000,20,0
175,12,61.184,1,58,12500,40,0
176,10,62.012,1,27,12500,15,0
177,18,61.184,1,47,20000,40,0
178,16,62.012,1,53,30000,40,0
179,12,65.082,1,29,8500,10,0
180,13.5,67.82,1,29,8500,0,0
181,13.5,68.2,1,47,30000,0,0
182,8,69.402,0,67,30000,10,0
183,18,69.402,0,31,30000,0,0
184,12,67.124,1,27,8500,0,0
185,12,68.263,1,34,3500,0,0
186,10,68.516,1,25,20000,0,0
187,12,67.82,1,46,20000,30,0
188,16,67.82,0,50,12500,50,0
189,6,67.757,1,69,8500,0,0
190,13.5,67.82,1,32,12500,0,0
191,12,67.693,1,64,8500,0,0
192,15,67.947,1,30,20000,0,0
193,8,68.073,1,78,12500,0,0
194,13.5,69.149,1,46,12500,0,0
195,13.5,69.529,1,49,30000,60,0
196,12,70.014,1,30,12500,0,0
197,10,68.833,0,23,2500,20,0
198,12,69.402,1,27,20000,15,0
199,18,68.39,1,28,30000,20,0
200,10,69.592,1,26,5500,30,0
201,6,67.693,1,44,12500,0,0
202,13.5,69.402,1,54,30000,30,0
203,12,69.841,1,54,8500,0,0
204,12,69.899,1,66,6500,13,0
205,18,67.883,1,49,30000,0,0
206,16,67.44,0,77,6500,0,0
207,12,68.896,1,74,12500,0,0
208,18,69.465,0,69,30000,0,0
209,13.5,68.643,1,78,30000,0,0
210,13.5,68.39,1,57,30000,20,0
211,8,70.129,1,53,8500,0,0
212,16,67.314,1,88,30000,0,0
213,12,67.187,1,79,20000,0,0
214,12,57.473,1,21,8500,0,0
215,18,58.094,1,30,8500,0,0
216,18,57.473,1,39,30000,0,0
217,15,59.852,1,25,500,9,0
218,10,59.13,1,58,20000,0,0
219,13.5,59.13,1,23,30000,15,0
220,16,59.233,1,30,20000,28,0
221,10,57.939,1,31,8500,40,0
222,16,57.473,1,31,20000,0,0
223,16,58.094,1,50,20000,0,0
224,8,58.508,1,20,12500,0,0
225,13.5,57.11,0,24,12500,0,0
226,12,61.988,1,33,20000,0,0
227,16,63.556,1,39,30000,0,0
228,13.5,57.466,0,19,30000,0,0
229,12,59.43,1,31,20000,20,0
230,13.5,60.042,1,40,30000,50,0
231,16,59.492,1,39,12500,0,0
232,15,59.676,1,23,5500,7,0
233,8,58.632,0,71,8500,0,0
234,6,58.08,1,54,6500,0,0
235,10,58.51,0,33,12500,20,0
236,18,60.221,1,30,30000,0,0
237,12,57.835,1,31,8500,20,0
238,18,60.518,1,46,30000,0,0
239,12,59.921,1,75,20000,0,0
240,8,58.264,1,40,30000,20,0
241,12,59.43,1,66,12500,0,0
242,18,59.492,1,45,30000,40,0
243,8,59.246,1,73,8500,0,0
244,12,57.712,1,31,20000,30,0
245,13.5,58.264,1,27,30000,0,0
246,10,58.632,0,50,20000,0,0
247,12,57.712,1,45,30000,0,0
248,12,58.264,0,22,30000,30,0
249,13.5,59.246,0,44,30000,0,0
250,10,58.51,1,51,30000,5,0
251,6,58.816,1,59,3500,0,0
252,10,58.448,1,59,20000,0,0
253,12,57.65,1,66,8500,0,0
254,13.5,59.246,1,35,30000,3,0
255,10,57.65,0,17,20000,15,0
256,12,59.553,1,35,20000,0,0
257,16,59.614,1,30,30000,0,0
258,12,59.43,1,23,30000,0,0
259,8,58.141,1,60,8500,0,0
260,18,59.246,1,27,20000,0,0
261,16,57.65,1,37,20000,0,0
262,15,57.957,0,42,20000,0,0
263,8,59.921,1,87,3500,0,0
264,13.5,59.614,1,26,20000,20,0
265,12,57.405,1,20,12500,15,0
266,10,58.878,1,65,12500,0,0
267,12,59.614,1,35,30000,20,0
268,18,59.001,0,38,30000,0,0
269,10,59.185,1,64,20000,20,0
270,10,58.264,1,62,8500,0,0
271,12,58.694,1,47,20000,1,0
272,10,58.08,1,52,30000,20,0
273,13.5,58.571,0,32,12500,0,0
274,16,58.448,1,26,20000,15,0
275,18,59.553,1,35,20000,0,0
276,16,57.712,1,35,30000,0,0
277,10,59.062,1,24,12500,0,0
278,8,59.43,1,77,20000,1,0
279,13.5,58.141,1,24,4500,20,0
280,8,53.325,1,63,20000,20,0
281,18,53.049,0,58,20000,0,0
282,10,52.888,1,69,3500,0,0
283,13.5,54.381,0,62,12500,50,0
284,12,53.67,1,27,12500,0,0
285,13.5,53.049,1,30,20000,20,0
286,10,52.796,1,51,30000,0,0
287,12,53.118,1,32,12500,0,0
288,10,52.819,1,51,30000,20,0
289,6,53.647,1,53,20000,0,0
290,13.5,53.509,0,20,20000,0,0
291,13.5,53.279,0,22,12500,40,0
292,16,52.819,1,24,30000,0,0
293,12,53.256,1,23,6500,0,0
294,12,52.819,1,65,30000,0,0
295,8,53.233,1,21,20000,20,0
296,8,52.98,1,19,1500,0,0
297,10,53.509,1,24,12500,20,0
298,12,53.325,1,34,20000,30,0
299,10,52.819,1,54,8500,6,0
300,18,58.142,1,50,20000,15,0
301,13.5,57.912,1,65,8500,20,0
302,12,56.9,1,33,20000,20,0
303,8,57.682,1,69,8500,0,0
304,15,59.235,1,26,12500,30,0
305,8,57.682,1,69,8500,0,0
306,12,56.9,1,59,30000,20,0
307,12,57.677,1,35,12500,20,0
308,6,58.378,1,54,8500,0,0
309,13.5,55.596,0,28,12500,0,0
310,12,55.596,0,28,20000,15,0
311,10,45.283,1,77,3500,30,0
312,12,44.059,1,64,20000,0,0
313,10,45.561,1,52,4500,40,0
314,10,45.283,1,21,1500,30,0
315,10,45.839,1,46,30000,0,0
316,12,45.227,1,24,20000,0,0
317,12,45.839,1,31,8500,30,0
318,12,44.004,1,26,8500,0,0
319,10,45.784,1,79,4500,0,0
320,12,46.521,1,53,30000,30,0
321,12,58.149,1,32,12500,40,0
322,15,60.235,1,21,5500,0,0
323,15,58.983,1,18,20000,0,0
324,13.5,59.428,1,30,12500,0,0
325,12,59.372,1,20,20000,15,0
326,8,56.904,1,69,12500,40,0
327,8,58.053,1,59,30000,20,0
328,12,57.069,1,56,30000,30,0
329,18,57.179,1,43,30000,0,0
330,10,57.434,1,40,30000,40,0
331,16,58.795,1,37,30000,0,0
332,10,58.255,1,36,12500,0,0
333,13.5,58.795,1,28,30000,40,0
334,12,57.871,1,33,30000,0,0
335,16,57.288,1,63,20000,0,0
336,8,57.835,1,51,1500,20,0
337,12,58.795,1,33,30000,10,0
338,13.5,57.069,1,39,30000,0,0
339,12,57.762,1,21,20000,20,0
340,13.5,58.255,1,37,30000,0,0
341,18,58.885,1,70,30000,0,0
342,12,57.871,1,20,30000,0,0
343,16,57.069,1,27,12500,0,0
344,16,58.885,1,28,20000,4,0
345,16,66.761,1,30,20000,0,0
346,13.5,65.767,1,52,20000,20,0
347,18,65.199,1,24,12500,0,0
348,12,65.767,1,71,12500,0,0
349,12,67.115,1,39,20000,50,0
350,12,68.335,1,19,8500,10,0
351,13.5,66.973,1,21,20000,0,0
352,16,67.399,1,33,3500,0,0
353,13.5,66.122,1,51,20000,0,0
354,8,65.767,1,54,30000,20,0
355,13.5,67.541,1,44,20000,25,0
356,12,67.115,1,43,30000,0,0
357,6,65.767,1,68,5500,0,0
358,12,66.761,1,22,20000,0,0
359,10,65.838,1,54,30000,40,0
360,16,67.825,1,37,30000,30,0
361,13.5,66.548,1,22,30000,15,0
362,18,58.381,1,65,30000,0,1
363,12,60.224,1,30,30000,30,1
364,12,60.224,1,19,30000,2,1
365,15,60.349,1,35,30000,0,1
366,10,59.986,1,59,30000,0,1
367,12,58.202,1,18,1500,0,1
368,12,58.262,1,44,20000,20,1
369,16,58.856,1,37,20000,0,1
370,12,60.522,1,37,12500,20,1
371,12,58.202,1,19,500,0,1
372,12,58.975,1,25,20000,0,1
373,16,58.916,0,31,12500,20,1
374,12,59.986,1,19,30000,0,1
375,10,58.499,1,18,30000,0,1
376,16,59.867,1,28,20000,20,1
377,18,58.381,1,46,30000,0,1
378,12,58.262,1,27,20000,0,1
379,12,57.845,1,58,20000,0,1
380,12,60.522,1,19,30000,0,1
381,13.5,60.283,1,30,20000,3,1
382,13.5,58.737,1,58,30000,30,1
383,6,58.024,1,42,20000,10,1
384,13.5,58.083,1,45,30000,0,1
385,10,60.436,1,18,12500,14,1
386,12,60.551,0,40,30000,20,1
387,13.5,59.986,1,66,8500,0,1
388,12,60.224,1,64,8500,20,1
389,12,59.986,0,43,30000,20,1
390,10,60.551,1,53,30000,0,1
391,16,58.797,1,36,30000,30,1
392,13.5,60.493,1,43,20000,20,1
393,18,59.57,1,25,12500,0,1
394,12,60.464,1,35,30000,0,1
395,16,62.102,1,29,30000,0,1
396,12,62.465,1,18,3500,0,1
397,12,63.199,1,20,12500,0,1
398,12,62.344,1,19,30000,0,1
399,10,62.948,1,17,30000,0,1
400,18,61.498,0,29,30000,20,1
401,8,61.458,1,65,12500,0,1
402,12,61.498,1,42,20000,0,1
403,16,63.253,1,32,30000,0,1
404,18,62.948,1,36,30000,0,1
405,16,63.253,1,57,30000,0,1
406,12,62.465,1,31,12500,0,1
407,10,62.264,1,17,20000,0,1
408,10,62.948,0,17,20000,0,1
409,8,59.376,1,45,20000,8,0
410,12,59.621,1,19,30000,10,0
411,8,54.338,1,74,5500,0,0
412,12,53.653,1,46,30000,25,0
413,13.5,54.925,1,27,30000,0,0
414,12,56.294,1,66,20000,0,0
415,16,54.925,1,44,30000,0,0
416,12,55.022,1,33,30000,0,0
417,12,54.142,1,64,20000,0,0
418,13.5,57.485,1,54,30000,1,0
419,10,57.585,0,27,12500,30,0
420,6,57.485,1,75,4500,0,0
421,10,53.262,1,19,8500,0,0
422,6,56.979,1,69,2500,20,0
423,12,55.707,1,30,8500,0,0
424,12,56.098,1,64,12500,0,0
425,13.5,57.336,1,37,30000,0,0
426,12,54.436,1,31,30000,0,0
427,12,57.585,1,30,20000,2,0
428,6,55.015,1,38,30000,0,1
429,12,59.653,1,20,30000,0,1
430,12,59.653,1,21,3500,20,1
431,12,56.804,1,19,12500,0,1
432,18,58.464,1,71,12500,0,0
433,10,63.103,1,49,20000,18,0
434,10,55.168,1,42,8500,0,0
435,8,55.007,1,54,12500,10,0
436,13.5,55.168,1,24,20000,20,0
437,12,54.322,1,60,30000,0,0
438,12,55.168,1,54,20000,0,0
439,10,53.879,1,28,8500,20,0
440,8,64.994,1,67,12500,0,0
441,12,65.55,1,56,20000,40,0
442,16,64.048,1,36,30000,0,0
443,12,64.438,0,25,30000,0,0
444,13.5,65.828,1,34,20000,0,0
445,10,65.605,1,20,20000,5,0
446,13.5,64.493,1,21,30000,10,0
447,12,64.938,1,42,8500,0,0
448,13.5,64.549,1,28,12500,20,0
449,18,65.439,1,29,20000,0,0
450,8,64.994,1,70,5500,20,0
451,12,66.328,1,32,12500,30,0
452,13.5,65.772,0,42,30000,40,0
453,10,65.161,1,17,30000,30,0
454,12,66.784,1,24,20000,0,0
455,15,66.328,0,64,20000,0,0
456,12,65.717,1,57,30000,60,0
457,16,64.104,1,51,30000,0,0
458,13.5,65.717,1,29,12500,18,0
459,10,64.438,1,66,6500,20,0
460,13.5,64.382,1,62,30000,15,0
461,16,66.328,1,29,30000,40,0
462,6,65.605,1,58,8500,0,0
463,15,65.161,0,53,20000,0,0
464,13.5,65.439,1,38,30000,0,0
465,12,64.104,1,24,20000,0,0
466,8,66.384,1,59,20000,0,0
467,16,66.217,1,30,30000,0,0
468,8,64.382,1,37,20000,0,0
469,12,65.995,1,43,20000,0,0
470,12,66.162,0,60,20000,0,0
471,10,64.994,1,24,12500,40,0
472,12,64.549,1,60,12500,0,0
473,8,62.04,1,82,4500,0,0
474,12,64.192,1,61,20000,0,0
475,10,64.507,1,66,30000,0,0
476,15,61.85,1,33,30000,0,0
477,10,64.564,1,26,20000,19,0
478,8,64.192,0,85,20000,20,0
479,13.5,62.104,1,32,20000,0,0
480,10,63.369,1,27,8500,0,0
481,12,64.129,1,30,30000,20,0
482,12,62.673,1,30,5500,0,0
483,13.5,63.179,1,47,30000,0,0
484,12,61.85,1,18,6500,0,0
485,12,62.42,0,20,6500,0,0
486,18,62.547,1,32,30000,0,0
487,18,61.977,1,30,20000,0,0
488,10,63.686,1,17,20000,0,0
489,12,62.61,1,22,12500,10,0
490,13.5,61.787,1,43,30000,0,0
491,10,63.306,1,56,20000,40,0
492,6,61.977,1,64,6500,0,0
493,6,62.926,1,76,12500,0,0
494,12,64.002,1,28,12500,30,0
495,18,64.651,1,37,30000,0,0
496,15,63.622,1,38,20000,0,0
497,16,62.104,1,52,20000,20,0
498,8,63.116,1,68,12500,0,0
499,12,62.926,1,75,12500,0,0
500,13.5,61.85,1,54,30000,20,0
501,18,61.85,1,36,30000,40,0
502,6,62.357,1,37,4500,0,0
503,13.5,62.42,0,23,12500,28,0
504,6,64.192,1,36,6500,5,0
505,10,63.116,1,44,30000,0,0
506,18,64.192,0,56,20000,0,0
507,10,64.319,1,64,12500,0,0
508,13.5,62.99,1,45,30000,28,0
509,12,61.787,1,56,30000,30,0
510,8,63.179,1,62,30000,0,0
511,15,62.8,1,62,12500,0,0
512,16,64.564,1,52,30000,0,0
513,10,63.116,1,18,30000,0,0
514,12,64.065,1,47,500,0,0
515,18,63.179,1,52,30000,0,0
516,12,64.129,1,18,20000,0,0
517,13.5,64.065,1,26,12500,20,0
518,15,64.622,1,22,30000,0,0
519,6,63.116,1,65,6500,0,0
520,12,63.876,1,38,20000,20,0
521,13.5,63.053,1,20,20000,0,0
522,16,62.04,1,41,20000,60,0
523,16,63.306,1,28,20000,20,0
524,16,62.926,1,57,20000,0,0
525,10,63.179,1,44,8500,7,0
526,13.5,64.478,1,32,20000,0,0
527,13.5,64.129,1,22,8500,15,0
528,16,64.382,1,30,30000,0,0
529,16,62.42,1,30,12500,0,0
530,10,63.053,1,59,20000,40,0
531,6,64.002,1,42,8500,0,0
532,10,63.433,1,31,12500,20,0
533,12,63.369,1,39,20000,0,0
534,8,63.686,1,65,12500,0,0
535,10,62.104,0,78,12500,10,0
536,10,63.622,0,17,4500,0,0
537,18,63.559,1,34,30000,0,0
538,16,64.651,1,39,30000,0,0
539,10,62.8,1,49,12500,0,0
540,12,64.192,1,51,30000,0,0
541,12,61.85,1,19,20000,0,0
542,12,63.559,1,26,20000,30,0
543,12,62.293,1,82,6500,0,0
544,12,64.129,1,38,3500,10,0
545,12,62.8,1,32,20000,30,0
546,10,61.724,1,27,3500,30,0
547,12,64.564,1,35,20000,0,0
548,10,63.749,1,54,20000,0,0
549,12,61.977,1,37,30000,20,0
550,10,64.651,0,60,12500,10,0
551,10,63.433,1,17,30000,11,0
552,16,64.564,1,28,20000,40,0
553,8,62.167,1,35,12500,40,0
554,10,64.002,1,40,8500,20,0
555,6,64.129,1,24,3500,0,0
556,18,63.749,1,41,30000,0,0
557,8,61.787,0,47,20000,0,0
558,13.5,46.314,1,22,6500,0,0
559,18,44.726,1,29,20000,0,0
560,10,44.381,1,17,30000,30,0
561,13.5,47.648,0,40,30000,40,0
562,13.5,46.314,1,32,8500,10,0
563,13.5,47.004,1,47,30000,0,0
564,10,46.659,1,58,20000,20,0
565,18,44.45,1,74,30000,0,0
566,12,47.492,1,49,30000,20,0
567,6,47.211,1,69,5500,0,0
568,16,47.211,1,25,12500,0,0
569,6,45.278,1,71,1500,0,0
570,12,57.352,1,66,6500,1,0
571,10,57.49,1,25,12500,20,0
572,10,59.151,1,50,20000,0,0
573,13.5,57.03,1,19,2500,0,0
574,6,57.168,1,28,3500,3,0
575,15,58.996,1,22,12500,0,0
576,13.5,58.088,1,49,30000,20,0
577,12,57.536,1,39,20000,20,0
578,10,58.641,1,19,3500,9,0
579,12,57.812,1,60,30000,0,0
580,18,58.181,1,37,20000,18,0
581,12,58.088,1,62,12500,0,0
582,12,58.892,1,20,1500,0,0
583,16,58.135,1,23,4500,1,0
584,10,56.846,1,45,20000,60,0
585,12,57.398,1,28,30000,40,0
586,12,59.151,1,20,30000,6,0
587,12,58.319,1,51,20000,0,0
588,12,57.398,1,62,6500,0,0
589,12,59.048,1,55,30000,0,0
590,16,58.181,1,26,12500,0,0
591,12,58.088,0,41,20000,10,0
592,13.5,58.227,1,67,12500,0,0
593,10,57.398,1,19,30000,20,0
594,18,56.754,1,33,20000,0,0
595,18,57.398,1,29,12500,0,0
596,12,57.444,1,49,20000,20,0
597,12,59.048,1,29,3500,20,0
598,15,58.841,1,32,20000,0,0
599,16,57.812,1,31,30000,60,0
600,10,57.904,1,17,20000,50,0
601,13.5,57.536,1,33,20000,0,0
602,12,58.737,1,21,12500,0,0
603,10,58.319,1,59,20000,30,0
604,13.5,56.984,1,25,30000,20,0
605,8,57.398,1,32,30000,60,0
606,12,58.411,1,25,20000,0,0
607,13.5,58.737,1,61,6500,40,0
608,18,58.892,1,66,30000,0,0
609,10,57.398,1,22,12500,25,0
610,12,57.49,1,24,6500,10,0
611,18,58.135,1,43,30000,0,0
612,12,59.048,1,51,20000,0,0
613,16,57.812,1,45,30000,0,0
614,12,58.841,1,45,20000,0,0
615,18,57.398,1,66,8500,0,0
616,12,58.892,0,38,30000,0,0
617,10,56.846,1,49,20000,30,0
618,13.5,57.444,1,29,8500,1,0
619,16,56.846,1,45,30000,33,0
620,18,60.873,1,43,30000,80,0
621,12,61.156,1,49,30000,0,0
622,13.5,62.718,1,20,30000,0,0
623,13.5,63.273,1,41,20000,20,0
624,12,58.46,1,31,20000,0,0
625,13.5,60.021,1,28,12500,0,0
626,12,59.028,1,36,12500,0,0
627,18,54.429,0,37,20000,0,0
628,12,53.344,1,18,500,0,0
629,15,52.579,1,22,2500,0,0
630,18,52.7,1,33,20000,0,0
631,10,53.143,1,76,4500,0,0
632,13.5,52.7,1,34,20000,0,0
633,13.5,60.786,0,78,2500,0,0
634,12,60.974,1,31,3500,15,0
635,10,61.269,1,42,12500,0,0
636,18,61.216,1,32,5500,10,0
637,8,60.746,1,80,12500,0,0
638,12,61.751,1,40,8500,10,0
639,16,61.242,1,53,30000,0,0
640,6,60.826,0,82,12500,0,0
641,6,61.055,1,18,8500,11,0
642,8,61.081,0,46,12500,10,0
643,12,61.202,1,60,20000,0,0
644,8,61.684,1,78,6500,0,0
645,12,60.947,1,47,30000,0,0
646,10,60.813,1,17,30000,0,0
647,12,60.759,1,27,20000,2,0
648,18,61.242,1,48,30000,0,0
649,18,61.028,1,39,30000,0,0
650,12,61.229,1,25,30000,0,0
651,12,61.885,1,30,3500,10,0
652,18,60.746,1,59,20000,0,0
653,16,61.041,1,47,30000,0,0
654,12,61.189,1,32,8500,20,0
655,10,61.189,1,17,20000,20,0
656,13.5,60.786,1,23,30000,0,0
657,12,61.256,1,20,12500,0,0
658,13.5,60.974,1,32,20000,0,0
659,13.5,61.001,1,19,30000,10,0
660,12,61.095,1,23,20000,0,0
661,10,61.229,1,18,6500,0,0
662,12,61.229,1,54,20000,30,0
663,12,60.947,1,65,20000,20,0
664,8,60.974,1,55,6500,0,0
665,12,61.001,1,29,30000,30,0
666,12,61.885,0,19,5500,8,0
667,16,60.786,1,27,12500,0,0
668,12,61.256,1,26,12500,35,0
669,10,61.189,1,59,30000,20,0
670,12,60.732,1,25,20000,0,0
671,16,61.041,1,78,12500,0,0
672,6,60.826,1,69,6500,20,0
673,10,61.216,1,58,20000,0,0
674,15,51,1,24,12500,0,0
675,12,51,1,54,12500,0,0
676,12,51,1,48,20000,0,0
677,12,51.04,1,59,30000,30,0
678,10,51.04,1,38,20000,40,0
679,16,50.919,1,29,30000,0,0
680,12,51.443,1,33,12500,50,0
681,6,51,1,32,2500,0,0
682,18,57.982,1,36,30000,0,0
683,6,59.996,0,49,30000,20,0
684,16,58.04,1,69,20000,0,0
685,12,60.868,0,18,30000,20,0
686,18,57.982,1,72,20000,0,0
687,18,60.803,1,35,12500,40,0
688,8,58.788,0,71,1500,0,0
689,13.5,58.615,1,47,30000,0,0
690,12,58.442,1,20,500,0,0
691,12,60.168,1,43,20000,0,0
692,12,60.347,1,65,4500,0,0
693,8,60.226,1,23,2500,10,0
694,12,59.996,1,44,30000,40,0
695,13.5,63.989,0,28,20000,0,0
696,18,64.235,1,67,20000,0,0
697,13.5,62.858,1,32,12500,0,0
698,8,63.519,1,37,20000,0,0
699,13.5,63.928,1,32,12500,4,0
700,6,63.577,1,57,20000,0,0
701,10,63.145,1,55,20000,30,0
702,12,63.663,1,31,30000,0,0
703,12,63.088,1,57,30000,0,0
704,13.5,63.744,0,54,30000,0,0
705,16,63.989,0,24,20000,25,0
706,13.5,63.692,1,33,12500,0,0
707,16,62.829,1,49,30000,0,0
708,10,63.548,1,19,12500,0,0
709,16,62.57,1,50,8500,20,0
710,18,62.829,1,58,30000,0,0
711,10,62.973,1,65,20000,0,0
712,10,64.235,1,18,8500,0,0
713,12,63.232,1,31,30000,20,0
714,12,62.829,1,34,20000,0,0
715,12,63.49,1,55,30000,0,0
716,16,63.26,1,28,12500,0,0
717,12,62.541,1,65,8500,20,0
718,8,63.928,0,68,5500,15,0
719,13.5,62.829,1,29,30000,0,0
720,12,62.656,0,29,20000,10,0
721,12,62.858,1,61,8500,0,0
722,16,63.375,1,45,30000,0,0
